construct,promoter,name,ts,miR,ts_num,ts_kind,ts_loc,miR_loc,design,group,pKG
UT,na,untransfected,na,na,0,–,na,na,0,un,0
UI,na,uninfected,na,na,0,–,na,na,0,un,0
KL012,pMXs,pMXs-MCP-mCherry,none,none,0,na,na,na,0,base,683
KL019,pMXs,pMXs-MCP-mCherry(miR.FF3)-TS.FF3x1,FF3x1,miR.FF3,1,T,3',CDS,1,controller,689
KL020,pMXs,pMXs-MCP-mCherry(miR.FF3)-TS.FF3x4,FF3x4,miR.FF3,4,T,3',CDS,1,controller,690
KL021,pMXs,pMXs-MCP-mCherry(miR.FF3)-TS.FF5x4,FF5x4,miR.FF3,4,NT,3',CDS,1,controller,691
RC013,CMV,CMV-MCP-mCherry(miR.FF3)-TS.FF3x1,FF3x1,miR.FF3,1,T,3',CDS,1,controller,-1
RC014,CMV,CMV-MCP-mCherry(miR.FF3)-TS.FF3x4,FF3x4,miR.FF3,4,T,3',CDS,1,controller,-1
RC015,CMV,CMV-MCP-mCherry(miR.FF3)-TS.FF5x4,FF5x4,miR.FF3,4,NT,3',CDS,1,controller,-1
RC016,CMV,CMV-MCP-mCherry(miR.FF5)-TS.FF3x4,FF3x4,miR.FF5,4,NT,3',CDS,1,controller,-1
RC017,CMV,CMV-MCP-mCherry(miR.FF5)-TS.FF5x1,FF5x1,miR.FF5,1,T,3',CDS,1,controller,-1
RC018,CMV,CMV-MCP-mCherry(miR.FF5)-TS.FF5x4,FF5x4,miR.FF5,4,T,3',CDS,1,controller,-1
RC043,UbC,UbC-tagBFP-bGH,na,na,0,na,na,na,0,marker,1231
RC047.v2,CMV,CMV-TS.FF3x4-MCP-mCherry(miR.FF5)-bGH,FF3x4,miR.FF5,4,NT,5',CDS,2,controller,-1
RC049,CMV,CMV-TS.FF5x4-MCP-mCherry(miR.FF5)-bGH,FF5x4,miR.FF5,4,T,5',CDS,2,controller,-1
RC051.v2,CMV,CMV-TS.FF3x4-MCP-mCherry-miR.FF5-bGH,FF3x4,miR.FF5,4,NT,5',UTR,3,controller,-1
RC053,CMV,CMV-TS.FF5x4-MCP-mCherry-miR.FF5-bGH,FF5x4,miR.FF5,4,T,5',UTR,3,controller,-1
RC054,CMV,CMV-TS.FF3x3.5x1-MCP-mCherry(miR.FF5)-bGH,FF3x3.5x1,miR.FF5,1,T,5',CDS,2,controller,-1
RC055,CMV,CMV-TS.FF3x3.5x1-MCP-mCherry-miR.FF5-bGH,FF3x3.5x1,miR.FF5,1,T,5',UTR,3,controller,-1
RC056,pMXs,pMXs-MCP-mCherry(miR.FF5)-TS.FF3x4,FF3x4,miR.FF5,4,NT,3',CDS,1,controller,-1
RC057,pMXs,pMXs-MCP-mCherry(miR.FF5)-TS.FF5x4,FF5x4,miR.FF5,4,T,3',CDS,1,controller,-1
RC058,pMXs,pMXs-TS.FF3x4-MCP-mCherry-miR.FF5,FF3x4,miR.FF5,4,NT,5',UTR,3,controller,-1
RC059,pMXs,pMXs-TS.FF5x4-MCP-mCherry-miR.FF5,FF5x4,miR.FF5,4,T,5',UTR,3,controller,-1
RC060,pMXs,pMXs-MCP-mCherry(miR.FF5)-TS.FF5x1,FF5x1,miR.FF5,1,T,3',CDS,1,controller,-1
RC061,pMXs,pMXs-TS.FF3x3.5x1-MCP-mCherry-miR.FF5,FF3x3.5x1,miR.FF5,1,T,5',UTR,3,controller,-1
RC062,TRE3G,TRE3G-MCP-mCherry(miR.FF5)-TS.FF3x4-bGH,FF3x4,miR.FF5,4,NT,3',CDS,1,controller,-1
RC063,TRE3G,TRE3G-MCP-mCherry(miR.FF5)-TS.FF5x4-bGH,FF5x4,miR.FF5,4,T,3',CDS,1,controller,-1
RC064,TRE3G,TRE3G-TS.FF3x4-MCP-mCherry(miR.FF5)-bGH,FF3x4,miR.FF5,4,NT,5',CDS,2,controller,-1
RC065,TRE3G,TRE3G-TS.FF5x4-MCP-mCherry(miR.FF5)-bGH,FF5x4,miR.FF5,4,T,5',CDS,2,controller,-1
RC066,TRE3G,TRE3G-TS.FF3x4-MCP-mCherry-miR.FF5-bGH,FF3x4,miR.FF5,4,NT,5',UTR,3,controller,-1
RC067,TRE3G,TRE3G-TS.FF5x4-MCP-mCherry-miR.FF5-bGH,FF5x4,miR.FF5,4,T,5',UTR,3,controller,-1
RC068,TRE3G,TRE3G-MCP-mCherry-bGH,none,none,0,na,na,na,0,base,-1
RC069,EFS,EFS-mRuby2-bGH,none,none,0,na,na,na,0,base,1850
RC070,EFS,EFS-mRuby2(miRE.FF4)-TS.FF6x4-bGH,FF6x4,miRE.FF4,4,NT,3',CDS,1,controller,-1
RC071,EFS,EFS-mRuby2(miRE.FF4)-TS.FF6x3.4x1-bGH,FF6x3.4x1,miRE.FF4,1,T,3',CDS,1,controller,-1
RC072,EFS,EFS-mRuby2(miRE.FF4)-TS.FF4x4-bGH,FF4x4,miRE.FF4,4,T,3',CDS,1,controller,-1
RC073,EFS,EFS-TS.FF6x4-mRuby2(miRE.FF4)-bGH,FF6x4,miRE.FF4,4,NT,5',CDS,2,controller,-1
RC074,EFS,EFS-TS.FF6x3.4x1-mRuby2(miRE.FF4)-bGH,FF6x3.4x1,miRE.FF4,1,T,5',CDS,2,controller,-1
RC075,EFS,EFS-TS.FF4x4-mRuby2(miRE.FF4)-bGH,FF4x4,miRE.FF4,4,T,5',CDS,2,controller,-1
RC076,EFS,EFS-TS.FF6x4-mRuby2-miRE.FF4-bGH,FF6x4,miRE.FF4,4,NT,5',UTR,3,controller,-1
RC077,EFS,EFS-TS.FF6x3.4x1-mRuby2-miRE.FF4-bGH,FF6x3.4x1,miRE.FF4,1,T,5',UTR,3,controller,-1
RC078,EFS,EFS-TS.FF4x4-mRuby2-miRE.FF4-bGH,FF4x4,miRE.FF4,4,T,5',UTR,3,controller,-1
RC079,hPGK,hPGK-mRuby2-bGH,none,none,0,na,na,na,0,base,1851
RC080,hPGK,hPGK-mRuby2(miRE.FF4)-TS.FF6x4-bGH,FF6x4,miRE.FF4,4,NT,3',CDS,1,controller,-1
RC081,hPGK,hPGK-mRuby2(miRE.FF4)-TS.FF6x3.4x1-bGH,FF6x3.4x1,miRE.FF4,1,T,3',CDS,1,controller,-1
RC082,hPGK,hPGK-mRuby2(miRE.FF4)-TS.FF4x4-bGH,FF4x4,miRE.FF4,4,T,3',CDS,1,controller,-1
RC083,hPGK,hPGK-TS.FF6x4-mRuby2(miRE.FF4)-bGH,FF6x4,miRE.FF4,4,NT,5',CDS,2,controller,-1
RC084,hPGK,hPGK-TS.FF6x3.4x1-mRuby2(miRE.FF4)-bGH,FF6x3.4x1,miRE.FF4,1,T,5',CDS,2,controller,-1
RC085,hPGK,hPGK-TS.FF4x4-mRuby2(miRE.FF4)-bGH,FF4x4,miRE.FF4,4,T,5',CDS,2,controller,-1
RC086,hPGK,hPGK-TS.FF6x4-mRuby2-miRE.FF4-bGH,FF6x4,miRE.FF4,4,NT,5',UTR,3,controller,-1
RC087,hPGK,hPGK-TS.FF6x3.4x1-mRuby2-miRE.FF4-bGH,FF6x3.4x1,miRE.FF4,1,T,5',UTR,3,controller,-1
RC088,hPGK,hPGK-TS.FF4x4-mRuby2-miRE.FF4-bGH,FF4x4,miRE.FF4,4,T,5',UTR,3,controller,-1
RC089,UbC,UbC-mGL-WPRE,na,na,0,na,na,na,0,marker,1852
RC090,UbC,UbC-PuroR-T2A-mGL-SV40pA,na,na,0,na,na,na,0,marker,1853
RC091,EFS,EFS-MCP-mCherry(miR.FF5)-TS.FF3x4-bGH,FF3x4,miR.FF5,4,NT,3',CDS,1,controller,-1
RC092,EFS,EFS-MCP-mCherry(miR.FF5)-TS.FF5x4-bGH,FF5x4,miR.FF5,4,T,3',CDS,1,controller,-1
RC093,EFS,EFS-TS.FF3x4-MCP-mCherry(miR.FF5)-bGH,FF3x4,miR.FF5,4,NT,5',CDS,2,controller,-1
RC094,EFS,EFS-TS.FF5x4-MCP-mCherry(miR.FF5)-bGH,FF5x4,miR.FF5,4,T,5',CDS,2,controller,-1
RC095,EFS,EFS-TS.FF3x4-MCP-mCherry-miR.FF5-bGH,FF3x4,miR.FF5,4,NT,5',UTR,3,controller,-1
RC096,EFS,EFS-TS.FF5x4-MCP-mCherry-miR.FF5-bGH,FF5x4,miR.FF5,4,T,5',UTR,3,controller,-1
RC097,hPGK,hPGK-MCP-mCherry(miR.FF5)-TS.FF3x4-bGH,FF3x4,miR.FF5,4,NT,3',CDS,1,controller,-1
RC098,hPGK,hPGK-MCP-mCherry(miR.FF5)-TS.FF5x4-bGH,FF5x4,miR.FF5,4,T,3',CDS,1,controller,-1
RC099,hPGK,hPGK-TS.FF3x4-MCP-mCherry(miR.FF5)-bGH,FF3x4,miR.FF5,4,NT,5',CDS,2,controller,-1
RC100,hPGK,hPGK-TS.FF5x4-MCP-mCherry(miR.FF5)-bGH,FF5x4,miR.FF5,4,T,5',CDS,2,controller,-1
RC101,hPGK,hPGK-TS.FF3x4-MCP-mCherry-miR.FF5-bGH,FF3x4,miR.FF5,4,NT,5',UTR,3,controller,-1
RC102,hPGK,hPGK-TS.FF5x4-MCP-mCherry-miR.FF5-bGH,FF5x4,miR.FF5,4,T,5',UTR,3,controller,-1
RC103,EFS,EFS-mRuby2(miRE.FF4)-bGH,none,miRE.FF4,0,na,na,CDS,0,miR,-1
RC104,EFS,EFS-mRuby2-miRE.FF4-bGH,none,miRE.FF4,0,na,na,UTR,0,miR,-1
RC105,EFS,EFS-mRuby2(miRE.FF4)-TS.FF6x1-bGH,FF6x1,miRE.FF4,1,NT,3',CDS,1,controller,3781
RC106,EFS,EFS-mRuby2(miRE.FF4)-TS.FF4x1-bGH,FF4x1,miRE.FF4,1,T,3',CDS,1,controller,3782
RC107,EFS,EFS-TS.FF6x1-mRuby2(miRE.FF4)-bGH,FF6x1,miRE.FF4,1,NT,5',CDS,2,controller,-1
RC108,EFS,EFS-TS.FF4x1-mRuby2(miRE.FF4)-bGH,FF4x1,miRE.FF4,1,T,5',CDS,2,controller,-1
RC109,EFS,EFS-TS.FF6x1-mRuby2-miRE.FF4-bGH,FF6x1,miRE.FF4,1,NT,5',UTR,3,controller,-1
RC110,EFS,EFS-TS.FF4x1-mRuby2-miRE.FF4-bGH,FF4x1,miRE.FF4,1,T,5',UTR,3,controller,-1
